people,change_pr_number,change_role_time,change_role,involved_pr_after_permission_change
1996fanrui,2817,2021-03-25 02:55:40,Reviewer,2817
9uapaw,3206,2021-07-21 07:09:37,Reviewer,3206#3314#3330#3333#3339#3396#3403#3430#3457#3460#3526#3550#3551
Apache9,2909,2021-04-15 06:02:04,Reviewer,2909
DazhuangSu,2651,2021-05-08 08:33:44,Reviewer,2651
GauthamBanasandra,2914,2021-04-15 08:53:18,Reviewer,2914#3043#3083
Hexiaoqiao,2651,2021-02-04 06:12:46,Reviewer,2651#2721#2736#2751#2829#2838#2860#2872#2889#2911#2913#2918#2941#2954
Ojasvi-Jalal,2730,2021-03-02 09:52:55,Reviewer,2730
PrabhuJoseph,3142,2021-06-25 10:37:09,Reviewer,3142#3176#3238#3287#3318
Samrat002,4745,2022-08-18 04:28:54,Reviewer,4745#4779#4783
TaoYang526,3389,2021-09-08 10:04:19,Reviewer,3389
ZanderXu,4480,2022-06-23 15:20:09,Reviewer,4480#4525#4527#4679#4681#4692#4697#4718#4750#4832#4838#4903
aajisaka,2586,2021-01-05 04:19:38,Reviewer,2586#2598#2653#2669#2678#2703#2724#2726#2730#2760#2767#2775#2779#2780#2791#2802#2806#2808#2837#2843#2857#2858#2865
abmodi,5060,2022-10-25 07:14:45,Reviewer,5060
adamantal,3480,2021-09-28 14:14:29,Reviewer,3480#3734
adoroszlai,4991,2022-10-31 19:23:44,Reviewer,4991#5101#5102#5114
ahmarsuhail,4140,2022-04-05 12:05:38,Reviewer,4140#4169#4212#4458#4478#4489
amahussein,2598,2021-01-07 17:11:52,Reviewer,2598
ankitsinghal,2654,2021-01-27 00:25:51,Reviewer,2654
anoopsjohn,2975,2021-08-04 17:03:52,Reviewer,2975
arp7,2718,2021-03-01 15:31:13,Reviewer,2718
ashutoshcipher,4254,2022-05-02 11:12:03,Reviewer,4254#4257#4344#4401#4410#4414#4469#4477#4527#4554#4562#4563#4578#4600#4618#4652
attilapiros,4728,2022-08-18 20:33:53,Reviewer,4728
ayushtkn,2647,2021-01-29 10:18:02,Reviewer,2647#2661#2683#2702#2716#2721#2743#2754#2766#2785#2790#2791#2794#2802#2823#2829#2831#2833#2844#2846#2881#2895#2955#2957#2961
bgaborg,2594,2021-01-12 11:22:29,Reviewer,2594#2675#2807
bharatviswa504,3423,2021-09-28 16:39:27,Reviewer,3423
bibinchundatt,2674,2021-02-18 11:39:59,Reviewer,2674#2719
bilaharith,2698,2021-02-25 05:48:55,Reviewer,2698#2795#2845#3028#3035
billierinaldi,2920,2021-04-20 15:21:26,Reviewer,2920
bogthe,2689,2021-05-13 14:02:02,Reviewer,2689#3015#3057#3061#3068#3101#3109#3133#3249
brumi1024,3212,2021-07-21 14:21:33,Reviewer,3212#3355#3358#3360#3361#3382#3390#3392#3402#3409#3410#3419#3420#3430#3458#3459#3461#3549
bshashikant,2958,2021-04-29 08:51:51,Reviewer,2958
busbey,2985,2021-05-10 15:06:49,Reviewer,2985#3224
