people,change_pr_number,change_role_time,change_role,involved_pr_after_permission_change
All112233,288,2021-12-28 02:14:17,Reviewer,288
MarcusSaviour,288,2021-12-30 13:00:01,Reviewer,288
bigio,179,2021-05-11 22:58:21,Reviewer,179#188#195
covener,307,2022-04-05 11:22:02,Reviewer,307
jfclere,307,2022-04-07 07:47:18,Reviewer,307
michael-o,177,2021-03-09 21:44:19,Reviewer,177
rpluem,187,2021-05-17 19:24:37,Reviewer,187#188#190#203#204#208
ylavic,190,2021-06-08 09:27:22,Reviewer,190#194#203
asfgit,167,2021-01-29 12:43:10,Maintainer,167#169#172#174#177
icing,318,2022-05-26 09:18:03,Maintainer,318#323
ylavic,194,2021-12-16 11:34:36,Maintainer,194#288#292#293
