people,change_pr_number,change_role_time,change_role,involved_pr_after_permission_change
andys8,10281,2022-04-25 16:53:22,Reviewer,10281
bfrg,9795,2022-02-18 13:35:34,Reviewer,9795
chrisbra,8714,2021-08-06 06:34:24,Reviewer,8714#8929
danielo515,10485,2022-05-26 10:36:53,Reviewer,10485
dpelle,8457,2021-06-26 09:58:12,Reviewer,8457#8751#8828#8869
jamessan,9483,2022-01-07 16:31:41,Reviewer,9483
mhanberg,11168,2022-09-19 18:41:32,Reviewer,11168
yegappan,8433,2021-06-28 21:41:37,Reviewer,8433#8566#8670
zvezdan,9301,2021-12-09 02:29:29,Reviewer,9301
brammool,7590,2021-01-01 12:54:17,Maintainer,7590#7595#7596#7602#7612#7622#7630#7633#7638#7648#7651#7654#7660#7662#7669#7673#7678#7679#7689#7690#7691#7695#7697#7713#7722#7724#7739#7740#7761#7762#7765#7766#7767#7772#7778#7790#7799#7812#7818#7819#7823#7830#7832#7836#7837#7841#7850#7854#7855#7858#7859#7860#7861#7877#7889#7895#7902#7908#7916#7924#7927#7937#7949#7950#7957#7958#7962#7963#7966#7968#7969#7970#7975#7976#7982#7983#7986#7987#7989#7992#7995#8007#8013#8019#8020#8025#8027#8029#8034#8035#8036#8046#8047
cecamp,8786,2021-08-24 02:21:16,Maintainer,8786
chrisbra,7605,2021-01-20 07:07:54,Maintainer,7605
k-takata,7803,2021-02-27 22:39:23,Maintainer,7803#8024
