trace_is_fit,trace_fitness,activated_transitions,reached_marking,enabled_transitions_in_marking,transitions_with_problems,missing_tokens,consumed_tokens,remaining_tokens,produced_tokens,pr_number,scene
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,627,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_61, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,18,0,18,646,fork_close
False,0.9875,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_66, None), (SubmitCommit, 'SubmitCommit'), (hid_66, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_39, None), (ReviewComment, 'ReviewComment'), (hid_48, None), (ReviewComment, 'ReviewComment'), (hid_47, None), (IssueComment, 'IssueComment'), (Revise, 'Revise'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['intplace_Revise:1', 'sink0:1']","{(ReviewApproved, 'ReviewApproved'), (Revise, 'Revise'), (ClosePR, 'ClosePR'), (ReviewComment, 'ReviewComment'), (ReviewRejected, 'ReviewRejected'), (IssueComment, 'IssueComment')}",[],0,39,1,40,655,fork_close
False,0.9545454545454546,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['pre_Revise:1', 'sink0:1']","{(Revise, 'Revise')}",[],0,10,1,11,656,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,670,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_66, None), (SubmitCommit, 'SubmitCommit'), (hid_66, None), (SubmitCommit, 'SubmitCommit'), (hid_66, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_61, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,18,0,18,693,fork_close
False,0.9821428571428572,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (Revise, 'Revise'), (hid_41, None), (Revise, 'Revise'), (hid_54, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_41, None), (Revise, 'Revise'), (hid_54, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['intplace_Revise:1', 'sink0:1']","{(ReviewApproved, 'ReviewApproved'), (Revise, 'Revise'), (ClosePR, 'ClosePR'), (ReviewComment, 'ReviewComment'), (ReviewRejected, 'ReviewRejected'), (IssueComment, 'IssueComment')}",[],0,27,1,28,700,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,702,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,719,fork_close
False,0.9444444444444444,"[(hid_31, None), (OpenPR, 'OpenPR'), (hid_60, None), (Revise, 'Revise'), (hid_53, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['pre_IssueComment:1', 'sink0:1']","{(IssueComment, 'IssueComment')}",[],0,8,1,9,733,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,740,fork_close
False,0.9583333333333333,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (Revise, 'Revise'), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['intplace_Revise:1', 'sink0:1']","{(ReviewApproved, 'ReviewApproved'), (Revise, 'Revise'), (ClosePR, 'ClosePR'), (ReviewComment, 'ReviewComment'), (ReviewRejected, 'ReviewRejected'), (IssueComment, 'IssueComment')}",[],0,11,1,12,767,fork_close
False,0.9642857142857143,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (Revise, 'Revise'), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['intplace_Revise:1', 'sink0:1']","{(ReviewApproved, 'ReviewApproved'), (Revise, 'Revise'), (ClosePR, 'ClosePR'), (ReviewComment, 'ReviewComment'), (ReviewRejected, 'ReviewRejected'), (IssueComment, 'IssueComment')}",[],0,13,1,14,775,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,782,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_62, None), (ReviewComment, 'ReviewComment'), (hid_48, None), (ReviewComment, 'ReviewComment'), (hid_48, None), (ReviewComment, 'ReviewComment'), (hid_49, None), (Revise, 'Revise'), (hid_55, None), (ReviewApproved, 'ReviewApproved'), (hid_44, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,22,0,22,798,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_62, None), (ReviewComment, 'ReviewComment'), (hid_46, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,10,0,10,807,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,808,fork_close
False,0.9722222222222222,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_60, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_37, None), (IssueComment, 'IssueComment'), (Revise, 'Revise'), (hid_37, None), (IssueComment, 'IssueComment'), (hid_36, None), (ClosePR, 'ClosePR'), (hid_35, None)]","['intplace_Revise:1', 'sink0:1']","{(ReviewApproved, 'ReviewApproved'), (Revise, 'Revise'), (ClosePR, 'ClosePR'), (ReviewComment, 'ReviewComment'), (ReviewRejected, 'ReviewRejected'), (IssueComment, 'IssueComment')}",[],0,17,1,18,809,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_59, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,8,0,8,810,fork_close
True,1.0,"[(hid_33, None), (SubmitCommit, 'SubmitCommit'), (hid_65, None), (OpenPR, 'OpenPR'), (hid_62, None), (ReviewComment, 'ReviewComment'), (hid_48, None), (ReviewComment, 'ReviewComment'), (hid_48, None), (ReviewComment, 'ReviewComment'), (hid_46, None), (ClosePR, 'ClosePR'), (hid_35, None)]",['sink0:1'],set(),[],0,14,0,14,811,fork_close
