people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
AlbumenJ,131,0.9541984732824428,0.9312977099236641,17621.994783715014,1471.1317948717951,0.7175572519083969
CrazyHZM,6,0.6666666666666666,0.3333333333333333,44385.56666666667,50722.543333333335,0.3333333333333333
EarthChen,8,1.0,0.875,2778.241666666667,18901.645238095236,0.875
beiwei30,1,1.0,1.0,32.4,0.0,1.0
carlos-ho,1,0.0,0.0,62193.5,0.0,0.0
chickenlj,100,0.63,0.83,17984.30383333333,4263.722222222223,0.71
guohao,12,1.0,0.16666666666666666,3934.952777777778,6846.101515151516,0.08333333333333333
horizonzy,16,0.9375,1.1875,1306.253125,4954.681111111111,0.875
htynkn,1,1.0,1.0,1610.4333333333334,0.0,1.0
kimmking,1,1.0,1.0,520.75,0.0,1.0
kylixs,13,0.6923076923076923,0.38461538461538464,4082.1076923076917,10690.986111111111,0.3076923076923077
llnancy,1,0.0,0.0,11.133333333333333,0.0,0.0
mercyblitz,1,1.0,0.0,1456.75,0.0,0.0
ralf0131,2,1.0,1.5,4296.375,11725.85,1.0
wangchengming666,4,1.0,1.0,815.4916666666667,13810.38888888889,0.75
xiaoheng1,1,1.0,0.0,162.86666666666667,0.0,0.0
zhangyz-hd,3,0.3333333333333333,1.0,9455.788888888888,52613.79166666667,0.6666666666666666
zonghaishang,4,0.75,1.25,7874.4125,5307.8388888888885,0.75
