people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
AlbumenJ,133,156,12.466666666666667,4721.0830827067675,0.8141025641025641
BurningCN,16,17,13.0,534.7531250000001,0.7058823529411765
CrazyHZM,9,13,6.866666666666666,8512.518518518518,0.46153846153846156
EarthChen,26,41,8.095238095238095,1155.6467948717948,0.5609756097560976
KeRan213539,1,1,0.0,75618.11666666667,1.0
Kvicii,1,1,0.0,1990.9833333333333,1.0
Oliverwqcwrw,1,1,0.0,3689.233333333333,1.0
andrewchoi5,1,1,0.0,117748.11666666667,1.0
beiwei30,2,3,0.0,1422.3416666666667,1.0
changfubai,22,25,4.666666666666667,1481.6098484848483,0.52
chickenlj,29,32,20.416666666666668,9452.208620689655,0.71875
codeimport,10,10,0.0,3685.126666666667,0.9
guohao,1,6,2.7916666666666665,6.333333333333333,0.16666666666666666
haoyann,1,1,0.0,54.31666666666667,1.0
horizonzy,33,45,9.0,3142.271717171717,0.37777777777777777
htynkn,1,1,0.0,1678.7833333333333,1.0
icankeep,12,12,15.0,445.95694444444433,0.5
jasondeng1997,1,1,0.0,18.683333333333334,1.0
juzi214032,4,4,0.0,1516.5708333333334,0.5
kevinw66,4,4,0.0,29376.75,0.75
kimmking,1,1,5.0,40697.566666666666,0.0
kylixs,6,7,38.833333333333336,24049.666666666668,0.2857142857142857
plusmancn,2,2,0.0,1860.7583333333334,1.0
qinliujie,1,1,0.0,27079.45,1.0
ralf0131,2,2,0.0,1342.2666666666667,1.0
rikaaa0928,1,2,0.0,29.7,1.0
wangchengming666,43,44,0.0,1546.1980620155039,0.9545454545454546
xiaoheng1,39,47,13.0,3163.37094017094,0.723404255319149
zonghaishang,2,5,6.666666666666667,1069.1166666666666,0.6
