people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
9uapaw,6,0.0,0.5,10071.688888888888,22733.54666666667,0.5
ChenSammi,1,1.0,1.0,14251.733333333334,0.0,1.0
GauthamBanasandra,4,1.0,1.0,13885.483333333334,41149.027777777774,1.0
Hexiaoqiao,11,0.7272727272727273,1.7272727272727273,51780.80909090909,55495.505000000005,0.9090909090909091
Jing9,5,1.0,1.0,43146.29333333333,55772.89583333333,0.8
PrabhuJoseph,4,1.0,1.25,12410.483333333334,30009.872222222224,1.0
TaoYang526,1,1.0,0.0,22266.65,0.0,0.0
ZanderXu,12,0.9166666666666666,2.3333333333333335,24185.776388888888,7199.348484848486,1.0
aajisaka,36,0.8611111111111112,0.8333333333333334,23933.512962962966,13838.61476190476,0.6944444444444444
adamantal,1,1.0,1.0,4141.933333333333,0.0,1.0
adoroszlai,8,1.0,2.0,7663.2229166666675,8702.17619047619,1.0
amahussein,1,1.0,1.0,5956.616666666667,0.0,1.0
arp7,1,1.0,1.0,8793.6,0.0,1.0
asfgit,1,1.0,0.0,1542.0833333333333,0.0,0.0
ayushtkn,18,1.0,1.5,25187.12962962963,15667.973529411764,0.9444444444444444
bgaborg,1,1.0,0.0,154.63333333333333,0.0,0.0
bharatviswa504,1,1.0,3.0,26646.316666666666,0.0,1.0
bibinchundatt,1,1.0,1.0,11846.883333333333,0.0,1.0
brahmareddybattula,1,1.0,0.0,4.816666666666666,0.0,0.0
brumi1024,9,0.0,1.0,15161.079629629627,9676.300000000001,0.7777777777777778
bshashikant,2,1.0,2.0,16940.391666666666,110807.26666666666,1.0
busbey,2,0.5,1.5,10376.225,91032.83333333333,1.0
cnauroth,1,1.0,1.0,9077.1,0.0,1.0
dineshchitlangia,2,1.0,2.0,10651.1,32378.45,1.0
fengnanli,2,1.0,2.0,21503.941666666666,22979.95,1.0
ferhui,5,1.0,1.4,25236.743333333332,37063.308333333334,1.0
giovannifumarola,1,1.0,1.0,1391.4833333333333,0.0,1.0
goiri,21,1.0,1.0952380952380953,13745.879365079365,14145.3875,0.9047619047619048
hemanthboyina,4,1.0,1.5,15341.929166666665,26940.072222222225,1.0
iwasakims,10,0.9,1.2,14281.248333333333,21164.98148148148,0.8
jbrennan333,4,1.0,1.0,14431.604166666666,23530.80555555555,1.0
jojochuang,27,0.9629629629629629,1.0,29329.134567901234,9846.941666666668,0.6666666666666666
jteagles,1,1.0,1.0,1494.45,0.0,1.0
kihwal,1,1.0,2.0,18462.516666666666,0.0,1.0
liuml07,10,0.9,1.3,2610.1033333333335,13308.857407407408,0.9
lmccay,3,0.6666666666666666,0.6666666666666666,13869.394444444444,41567.525,0.6666666666666666
mehakmeet,5,1.0,0.4,7058.976666666665,17628.87083333333,0.4
mukul1987,2,1.0,3.0,1902.9833333333331,27362.3,1.0
mukund-thakur,3,1.0,1.3333333333333333,32018.53333333333,76312.20833333333,1.0
omalley,15,0.3333333333333333,1.8666666666666667,29066.921111111114,22931.26785714286,0.8666666666666667
pbacsko,1,1.0,1.0,5358.4,0.0,1.0
rakeshadr,1,1.0,1.0,300.26666666666665,0.0,1.0
saintstack,2,1.0,0.0,36457.59166666667,117801.95,0.0
shuzirra,16,1.0,1.75,17760.630208333332,8652.185555555556,0.9375
smengcl,3,1.0,1.0,14381.427777777777,67057.45,1.0
sodonnel,7,1.0,1.1428571428571428,14456.735714285713,21855.30555555555,1.0
steveloughran,35,0.6857142857142857,1.2857142857142858,61171.38952380952,12155.15,0.7428571428571429
sunchao,9,1.0,2.111111111111111,11061.83888888889,7737.743750000001,1.0
surendralilhore,9,1.0,1.8888888888888888,63971.31851851852,32915.785416666666,0.7777777777777778
szilard-nemeth,1,1.0,1.0,132.68333333333334,0.0,1.0
tangzhankun,1,1.0,0.0,11352.05,0.0,0.0
tasanuma,32,0.96875,1.34375,9079.599999999999,4232.84569892473,0.96875
tomscut,12,1.0,1.3333333333333333,7169.81388888889,7634.4409090909085,0.9166666666666666
umamaheswararao,1,1.0,1.0,10475.9,0.0,1.0
virajith,2,1.0,1.0,11129.533333333335,8250.583333333334,1.0
wsu13,1,1.0,0.0,15527.566666666668,0.0,0.0
xiaoyuyao,5,1.0,1.0,10177.05,24085.92916666667,1.0
xkrogen,2,1.0,1.0,20624.75,12878.533333333333,1.0
yangwwei,1,1.0,2.0,12571.4,0.0,1.0
zhuqi-lucas,4,1.0,1.25,14631.545833333334,34050.62222222222,0.75
