people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
1996fanrui,1,2,6.5,548.0833333333334,0.5
9uapaw,13,23,20.24561403508772,9582.639743589745,0.30434782608695654
Apache9,1,1,0.0,754.0666666666667,1.0
DazhuangSu,1,1,40.0,147452.45,0.0
GauthamBanasandra,3,3,31.0,5099.672222222222,0.6666666666666666
Hexiaoqiao,14,21,16.125,10820.809523809523,0.5714285714285714
Ojasvi-Jalal,1,1,0.0,1226.9166666666667,1.0
PrabhuJoseph,5,7,20.666666666666668,7235.843333333333,0.7142857142857143
Samrat002,3,3,7.0,1935.6777777777777,0.6666666666666666
TaoYang526,1,4,13.0,1077.3833333333334,0.25
ZanderXu,12,21,10.7625,16425.219444444443,0.5238095238095238
aajisaka,23,31,11.777777777777779,17149.791304347833,0.7096774193548387
abmodi,1,1,0.0,5119.766666666666,1.0
adamantal,2,2,0.0,3176.9500000000003,0.5
adoroszlai,4,6,12.0,8832.204166666666,0.6666666666666666
ahmarsuhail,6,10,16.434782608695652,2518.6194444444445,0.6
amahussein,1,2,28.125,1650.3333333333333,0.5
ankitsinghal,1,1,0.0,526.7,1.0
anoopsjohn,1,3,39.0,96025.23333333334,0.3333333333333333
arp7,1,1,0.0,8771.816666666668,1.0
ashutoshcipher,16,16,0.0,13337.114583333332,0.9375
attilapiros,1,1,3.0,12106.116666666667,1.0
ayushtkn,25,38,22.82758620689655,2274.517333333333,0.6578947368421053
bgaborg,3,5,9.8,10404.066666666666,0.4
bharatviswa504,1,1,8.0,24740.266666666666,1.0
bibinchundatt,2,3,13.0,14569.091666666667,0.6666666666666666
bilaharith,5,10,5.0,10215.873333333333,0.5
billierinaldi,1,1,0.0,5869.116666666667,1.0
bogthe,9,9,30.61904761904762,19931.022222222222,0.7777777777777778
brumi1024,18,34,25.347826086956523,4276.327777777778,0.6176470588235294
bshashikant,1,1,0.0,3861.2,1.0
busbey,2,6,26.82608695652174,2961.258333333333,0.3333333333333333
cnauroth,3,5,0.0,10334.322222222223,0.6
cxorm,5,5,13.5,4278.796666666666,0.6
dannycjones,3,6,31.61111111111111,4490.416666666667,0.3333333333333333
dineshchitlangia,3,4,32.333333333333336,9549.416666666666,0.75
dongjoon-hyun,1,1,0.0,4790.583333333333,1.0
elek,1,1,0.0,738.0833333333334,1.0
eolivelli,2,4,13.0,1805.3666666666668,0.75
fdalsotto,1,1,0.0,1087.8333333333333,1.0
fengnanli,1,1,0.0,817.05,1.0
ferhui,7,8,6.333333333333333,49262.36666666666,0.625
goiri,24,33,13.470588235294118,2530.377083333333,0.7575757575757576
harshavardhana,1,2,10.0,67474.26666666666,0.5
