people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
Akshay-Gupta-19,2,2,0.0,8952.091666666667,1.0
BradWalker,1,1,0.0,601.55,1.0
Chris2011,1,1,0.0,1835.15,1.0
DevCharly,2,3,15.0,2975.2666666666664,0.6666666666666666
JaroslavTulach,72,92,22.367346938775512,2565.6305555555564,0.8043478260869565
KacerCZ,4,6,17.8,667.0458333333333,0.5
MartinBalin,26,26,0.0,1660.554487179487,1.0
aubi,2,2,5.0,53950.225,1.0
dbalek,13,13,6.0,5990.239743589744,1.0
ebarboni,4,4,7.0,16675.675000000003,0.75
eirikbakke,2,3,12.0,167.425,0.3333333333333333
emilianbold,1,2,16.75,915.6333333333333,1.0
entlicher,7,10,9.333333333333334,2976.3190476190475,0.6
geertjanw,14,14,0.0,9835.552380952382,0.9285714285714286
hectorespert,1,1,0.0,72051.0,1.0
jGauravGupta,1,2,4.0,54398.183333333334,0.5
jen801,1,1,0.0,15903.2,1.0
jhorvath,4,4,0.0,7529.841666666666,1.0
jkovalsky,1,2,11.2,48070.6,0.5
jlahoda,8,8,17.0,4029.235416666667,1.0
jtulach,6,8,6.0,1052.6916666666668,0.75
juneau001,1,1,0.0,1129.9,1.0
junichi11,13,18,13.421052631578947,1363.473076923077,0.5555555555555556
lahodaj,2,3,30.5,6439.875,0.6666666666666666
lkishalmi,15,21,26.8125,27516.576666666664,0.6666666666666666
matthiasblaesing,14,19,30.829787234042552,5851.303571428571,0.47368421052631576
mbien,37,50,32.303030303030305,15146.143693693697,0.56
mcdonnell-john,1,1,0.0,72582.8,1.0
mklaehn,2,3,132.0,583.5583333333334,0.6666666666666666
neilcsmith-net,12,12,16.0,4468.784722222222,0.9166666666666666
oyarzun,1,2,0.0,18503.466666666667,0.5
pepness,1,1,0.0,43.03333333333333,1.0
ppisl,21,23,20.0,2323.2230158730163,0.9130434782608695
sdedic,29,44,21.892857142857142,9254.675862068965,0.6136363636363636
singh-akhilesh,2,2,0.0,43615.26666666667,0.5
svenreimers,2,2,0.0,1037.8166666666666,1.0
tmysik,14,24,16.65625,8088.1285714285705,0.5833333333333334
tzezula,1,1,0.0,4013.4166666666665,1.0
vieiro,13,19,18.42105263157895,2318.444871794872,0.631578947368421
