people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
APrigarina,1,1,0.0,27972.55,1.0
AleksandrPanov,1,2,0.0,19880.016666666666,1.0
AsyaPronina,8,24,11.797619047619047,4994.172916666665,0.25
Daniil-Osokin,1,4,11.5,54525.45,0.25
DumDereDum,1,1,0.0,12901.483333333334,1.0
JulieBar,4,11,6.5476190476190474,10763.316666666666,0.2727272727272727
MaximMilashchenko,1,1,0.0,24816.75,1.0
NerdToMars,1,1,0.0,5940.85,1.0
OrestChura,1,2,15.4,10818.616666666667,0.5
Qannaf,2,2,5.25,58695.149999999994,0.5
TolyaTalamanov,21,49,10.11413043478261,7226.292063492062,0.24489795918367346
VadimLevin,1,1,0.0,1984.4833333333333,1.0
aDanPin,3,5,15.5,5442.3,0.8
aceveggie,1,1,0.0,1247.6333333333334,1.0
alalek,124,220,30.79550561797753,8053.504838709678,0.45
alexgiving,5,6,3.225806451612903,9763.413333333334,0.6666666666666666
alvoron,1,1,0.0,3761.233333333333,1.0
anna-khakimova,10,33,12.791666666666666,11265.745,0.36363636363636365
asmorkalov,22,37,12.470588235294118,7300.625757575757,0.5945945945945946
azhogov,1,1,0.0,115.48333333333333,1.0
blackliner,1,1,2.0,33.21666666666667,1.0
dbudniko,1,1,0.0,1504.0,1.0
dkurt,10,12,21.5,4218.1,0.5833333333333334
dmatveev,15,26,14.864705882352942,6675.618888888889,0.5384615384615384
edman007,1,1,0.0,503.56666666666666,1.0
fengyuentau,1,1,0.0,258781.38333333333,1.0
fpetrogalli,1,3,18.0,27354.366666666665,0.3333333333333333
fzhar,1,2,23.733333333333334,248367.65,0.0
goktugerol-dev,1,1,0.0,82.8,1.0
gst,1,1,0.0,352.5,1.0
ilya-lavrenov,1,1,0.0,64.16666666666667,1.0
ivashmak,1,1,52.0,109.1,1.0
jiangjiajun,1,1,15.0,140739.05,1.0
jondea,1,2,33.4,4201.333333333333,0.5
l-bat,5,6,7.0,6483.7,0.8333333333333334
mpashchenkov,5,20,7.577981651376147,3104.6133333333332,0.25
mshabunin,28,33,21.666666666666668,4414.513690476191,0.8484848484848485
pablorcum,1,1,9.0,104.21666666666667,1.0
rasmus25,1,1,0.0,468.76666666666665,0.0
rgarnov,10,16,13.115384615384615,8570.4,0.5625
rogday,6,12,36.03333333333333,46550.19166666667,0.5
savuor,3,8,21.63157894736842,21090.994444444445,0.5
sergei-sl,1,1,0.0,7158.35,1.0
sergregory,1,2,19.0,214.55,0.5
sivanov-work,2,4,19.0,40.25833333333333,0.25
sl-sergei,3,3,0.0,4606.555555555556,1.0
smirnov-alexey,6,26,9.689655172413794,3739.4,0.15384615384615385
terfendail,1,12,24.4375,25464.25,0.08333333333333333
tomoaki0705,2,3,38.214285714285715,1997.8416666666667,0.0
victor1234,1,1,0.0,73712.81666666667,1.0
vpisarev,12,35,25.61904761904762,17962.804166666672,0.34285714285714286
zihaomu,1,2,0.0,18203.55,1.0
