people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
Eiji7,1,1,0.0,4.3,1.0
GriffinMB,1,1,0.0,29.366666666666667,1.0
aaronrenner,1,1,0.0,2753.45,1.0
almirsarajcic,1,2,0.0,496.51666666666665,0.5
anildigital,1,1,0.0,1437.2833333333333,1.0
chrismccord,1,4,25.0,148.45,0.25
connorlay,1,1,37.25,20180.866666666665,0.0
cw789,1,1,42.333333333333336,25515.116666666665,0.0
eksperimental,1,1,12.0,241.06666666666666,0.0
jeregrine,2,3,0.0,1051.1666666666667,1.0
jesseshieh,1,1,24.5,337.95,0.0
josevalim,17,28,29.72,3480.7009803921574,0.21428571428571427
kelvinst,1,1,18.0,737.7666666666667,0.0
leandrocp,2,11,36.583333333333336,505.95000000000005,0.0
leschllr,1,1,0.0,10204.283333333333,1.0
marcandre,2,2,0.0,10657.791666666666,1.0
mcrumm,3,3,9.0,308.47222222222223,0.3333333333333333
milmazz,3,3,12.0,247.89999999999998,0.6666666666666666
nelsonmestevao,1,1,0.0,305.81666666666666,1.0
nickjj,1,3,18.0,7.166666666666667,0.3333333333333333
snewcomer,1,1,8.6,20758.733333333334,1.0
