people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
JimB123,1,1,0.0,150.76666666666668,1.0
MeirShpilraien,5,5,29.90909090909091,127357.69333333333,0.6
Nenado,1,1,0.0,89784.16666666667,1.0
PingXie,5,8,26.5,44582.38333333334,0.5
ShooterIT,4,9,15.727272727272727,2304.2791666666667,0.4444444444444444
YaacovHazan,1,1,3.0,62338.166666666664,0.0
bejandiana,1,1,0.0,86.33333333333333,1.0
chenyang8094,5,9,55.86666666666667,12580.256666666664,0.3333333333333333
danni-m,1,1,0.0,25495.95,1.0
enjoy-binbin,5,5,16.166666666666668,24798.34333333333,0.6
fadidahanna,1,1,0.0,2713.983333333333,1.0
filipecosta90,1,1,0.0,88215.98333333334,1.0
gkorland,1,1,0.0,17619.183333333334,1.0
guybe7,10,18,14.176470588235293,56155.54666666667,0.3888888888888889
hpatro,4,4,0.0,537.425,1.0
huangzhw,7,7,15.0,10413.559523809523,0.2857142857142857
hwware,4,6,17.714285714285715,14504.970833333333,0.3333333333333333
itamarhaber,21,24,11.88888888888889,31330.857936507935,0.75
judeng,3,4,12.4,892.5722222222221,0.5
liuchong,1,1,0.0,1114.7166666666667,1.0
madolson,61,88,26.151685393258425,17855.0956284153,0.5681818181818182
moticless,6,10,14.6,55751.01944444444,0.6
ny0312,2,2,36.65714285714286,62015.558333333334,0.5
oranagra,154,258,38.90890688259109,8953.667748917751,0.5697674418604651
ponyweiguo,1,1,0.0,302.48333333333335,1.0
ranshid,2,4,40.666666666666664,6996.441666666667,0.5
ryankarl65,1,1,0.0,29411.15,1.0
soloestoy,14,16,14.166666666666666,40038.54761904761,0.75
trevor211,2,2,0.0,7827.241666666667,1.0
ulidtko,1,1,0.0,42539.45,1.0
yangbodong22011,3,3,35.5,16569.05555555556,0.6666666666666666
yoav-steinberg,8,13,43.0,19696.791666666668,0.46153846153846156
yossigo,76,87,22.634920634920636,17521.224780701763,0.8275862068965517
zeekling,3,3,0.0,2167.3055555555557,1.0
zuiderkwast,15,17,42.5,3433.192222222222,0.5294117647058824
