people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
AudiBram,1,1,0.0,31753.933333333334,1.0
JarvisCraft,1,1,10.333333333333334,21.416666666666668,0.0
cuspymd,9,9,13.571428571428571,1170.9722222222222,0.1111111111111111
jhoeller,1,1,0.0,3967.1,0.0
kkocel,1,1,13.0,21099.0,0.0
klasikcorp30,1,1,0.0,1301.85,1.0
mahadevshindhe,1,1,0.0,823.05,1.0
mkakim95,1,1,0.0,4980.733333333334,1.0
muriloalvesdev,1,1,0.0,65541.81666666667,1.0
nguyensach,1,2,32.0,977.7166666666667,0.5
onukristo,1,1,0.0,2172.55,1.0
qw81641493,1,1,0.0,2778.633333333333,1.0
rstoyanchev,4,5,15.0,5498.041666666666,0.2
sbrannen,4,6,43.0,10389.287499999999,0.3333333333333333
sdeleuze,1,1,0.0,5120.816666666667,1.0
snicoll,1,1,5.0,14570.983333333334,1.0
stsypanov,1,1,0.0,2862.133333333333,1.0
