people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
JunyoungLim,1,0.0,1.0,224912.9,0.0,1.0
MarkDaoust,2,0.0,0.5,3017.4666666666667,37312.4,0.5
MichaelHudgins,1,0.0,1.0,14256.266666666666,0.0,1.0
abattery,3,0.0,1.3333333333333333,209169.05000000005,331188.60833333334,0.6666666666666666
advaitjain,17,0.0,0.4117647058823529,52924.55392156863,9451.227083333333,0.4117647058823529
akuegel,1,0.0,2.0,7965.583333333333,0.0,1.0
allenlavoie,1,0.0,0.0,90816.73333333334,0.0,0.0
angerson,1,0.0,0.0,100540.8,0.0,0.0
bixia1,1,0.0,0.0,21.1,0.0,0.0
cantonios,2,0.0,0.0,100763.45,160019.13333333333,0.0
chenmoneygithub,1,0.0,0.0,8484.85,0.0,0.0
cheshire,1,0.0,0.0,83823.16666666667,0.0,0.0
copybara-service[bot],450,1.0,1.3622222222222222,19393.664037037037,1190.3195619896069,0.9755555555555555
deeb02,1,0.0,1.0,40218.76666666667,0.0,1.0
edloper,1,0.0,1.0,205874.83333333334,0.0,1.0
fchollet,4,0.0,1.0,59442.02916666667,57648.700000000004,0.75
fcoUnda,1,0.0,2.0,61279.15,0.0,1.0
gbaned,18,0.0,0.6111111111111112,99176.17499999999,29671.81078431373,0.4444444444444444
goldiegadde,1,1.0,1.0,384.3,0.0,1.0
haifeng-jin,1,0.0,0.0,40649.583333333336,0.0,0.0
impjdi,2,0.0,1.0,190513.8,235016.06666666668,1.0
joker-eph,3,0.0,1.3333333333333333,28543.022222222222,59618.166666666664,1.0
jpienaar,1,0.0,1.0,72989.33333333333,0.0,1.0
jsimsa,3,0.0,0.0,154110.76111111112,87160.65833333334,0.0
khanhlvg,1,0.0,1.0,2801.133333333333,0.0,1.0
kkimdev,1,0.0,0.0,2673.5833333333335,0.0,0.0
learning-to-play,1,1.0,0.0,2330.2833333333333,0.0,0.0
mdanatg,1,0.0,2.0,20038.783333333333,0.0,1.0
meteorcloudy,1,0.0,1.0,2172.516666666667,0.0,1.0
mihaimaruseac,42,0.6428571428571429,0.5952380952380952,13940.884920634922,4737.441869918699,0.5
nitins17,5,0.0,1.2,3141.0233333333335,13284.545833333334,0.8
njeffrie,1,0.0,2.0,153.53333333333333,0.0,1.0
pak-laura,1,1.0,1.0,15921.85,0.0,1.0
penpornk,3,0.0,1.0,31327.57222222222,97667.3,1.0
petewarden,1,0.0,1.0,4320.4,0.0,1.0
pkanwar23,2,0.0,1.5,46490.54166666667,70085.46666666666,1.0
pschuh,1,0.0,0.0,2832.85,0.0,0.0
qlzh727,7,0.0,1.4285714285714286,25744.678571428572,26912.866666666665,0.7142857142857143
reedwm,1,0.0,0.0,29075.6,0.0,0.0
rishikasinha-tf,4,1.0,1.75,301.43333333333334,1900.8999999999999,1.0
rthadur,4,0.0,0.75,1181.0083333333334,40783.09444444445,0.5
sachinprasadhs,2,0.5,0.5,60833.825,142581.2,0.5
sanjoy,3,0.0,1.3333333333333333,48504.53888888889,59178.86666666667,0.6666666666666666
smit-hinsu,1,0.0,0.0,309888.45,0.0,0.0
tensorflow,1,0.0,1.0,40494.63333333333,0.0,1.0
tensorflowbutler,7,0.0,1.1428571428571428,225333.25,77281.31111111112,0.8571428571428571
terryheo,1,0.0,0.0,22.25,0.0,0.0
thaink,1,1.0,3.0,1882.7666666666667,0.0,1.0
theadactyl,1,0.0,5.0,66054.73333333334,0.0,1.0
tomerk,1,0.0,0.0,14406.6,0.0,0.0
vinila21,54,0.6666666666666666,0.8148148148148148,1568.581790123457,2340.34748427673,0.7962962962962963
yishuangP,1,0.0,1.0,196775.51666666666,0.0,1.0
