people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
anmolnar,1,0.0,0.0,1942.45,0.0,0.0
arshadmohammad,11,0.0,1.2727272727272727,57718.572727272745,62229.878333333334,0.9090909090909091
asfgit,17,0.0,1.9411764705882353,13430.467647058824,8410.709375,1.0
cnauroth,3,1.0,1.6666666666666667,5269.427777777778,29246.766666666666,1.0
eolivelli,5,0.0,1.4,8100.45,28089.233333333337,1.0
maoling,4,0.0,0.75,74100.40416666667,94676.63333333335,0.75
nkalmar,4,0.0,1.75,35930.64583333333,41252.79444444445,0.75
peamees,1,0.0,0.0,0.38333333333333336,0.0,0.0
symat,1,0.0,1.0,3151.85,0.0,1.0
ztzg,22,0.0,1.9090909090909092,23399.743181818176,13630.452380952382,0.9545454545454546
