people,pr_num,review_num,avg_review_comment_length,avg_review_response_time,approve_rate
KangZhiDong,1,1,0.0,1249.6833333333334,1.0
Shoothzj,1,1,0.0,38127.13333333333,1.0
XiaoyiPeng,1,1,0.0,9399.316666666668,1.0
ZWShuai91,1,1,0.0,11.183333333333334,1.0
anmolnar,4,4,0.0,9328.404166666667,0.75
arshadmohammad,16,20,33.2,1838.5677083333337,0.8
belugabehr,1,1,11.0,793.5,0.0
cnauroth,2,4,42.25,482.625,0.5
ctubbsii,1,1,0.0,12921.85,1.0
edwin092,1,1,0.0,27919.333333333332,1.0
eolivelli,36,42,23.5,1334.7990740740743,0.8333333333333334
hanm,4,5,54.0,41090.14583333333,0.8
kezhuw,1,1,28.0,81607.4,1.0
lhotari,1,3,14.0,129761.48333333334,0.3333333333333333
maoling,6,7,19.2,5565.7555555555555,0.5714285714285714
nicoloboschi,1,1,0.0,48.4,1.0
nkalmar,5,6,17.0,8460.136666666667,0.6666666666666666
ruanwenjun,1,1,0.0,13976.2,1.0
symat,10,13,30.0,1635.8983333333333,0.7692307692307693
tisonkun,1,2,75.66666666666667,179.93333333333334,0.5
ztzg,20,24,55.5,7657.3049999999985,0.8333333333333334
